id,parameter_set_id,source,qualifier,amount,units
138,41,Incentive,min,0.0000,$/kWh
321,132,Incentive,,250.0000,$/Unit
322,133,Incentive,,25.0000,$/Unit
323,134,Incentive,max,1500.0000,$
411,152,Incentive,,0.0000,$/kWh
412,152,Incentive,,800.0000,$/kW
413,152,Incentive,max,50.0000,"% of cost"
414,153,Incentive,,800.0000,$/kW
415,153,Incentive,,1250.0000,$/kW
416,153,Incentive,,0.0000,$/kWh
418,154,Incentive,max,75.0000,"% of cost"
419,154,Incentive,max,100000.0000,$
420,154,Incentive,max,10.0000,Years
453,167,Incentive,,0.0000,$/kWh
497,189,Incentive,,2.0000,$/W-DC
498,189,Incentive,max,15000.0000,$
499,190,Incentive,,1.0000,$/W-DC
500,190,Incentive,max,30000.0000,$
1213,451,Incentive,,75.0000,$/kW
1214,451,Incentive,,275.0000,$/kW
1215,451,Incentive,,0.0700,"$/kWh (1 year)"
1216,451,Incentive,max,1.0000,$
1567,676,Incentive,min,2500.0000,$/Unit
1568,676,Incentive,max,30000.0000,$
1607,692,Incentive,max,300.0000,$
2489,109,Incentive,max,900000.0000,$
2490,109,Incentive,max,30.0000,"% of cost"
2512,1094,Incentive,,1.2500,$/MWh
2560,1103,Incentive,max,2250.0000,$
2561,1103,Incentive,max,50.0000,"% of cost"
2573,492,Incentive,,1000.0000,$/kW
2574,492,Incentive,max,3000.0000,$
2575,492,System,max,10.0000,kW
2576,493,Incentive,,1000.0000,$/kW
2577,493,Incentive,max,10000.0000,
2578,493,System,max,10.0000,kW
2662,1156,Incentive,max,250.0000,$
2663,1157,Incentive,,125.0000,$/Unit
2720,1166,Incentive,min,0.4500,"$/square foot"
2721,1167,Incentive,min,75.0000,$/ton
2722,1168,Incentive,,45.0000,$/ton
2723,1169,Incentive,,55.0000,$/ton
2724,1170,Incentive,,49.0000,$/ton
2887,1283,Incentive,,600.0000,$/ton
2888,1284,Incentive,min,150.0000,$/ton
2889,1284,Incentive,max,350.0000,$
3486,1540,Incentive,,250.0000,$/Unit
3487,1541,Incentive,,250.0000,$/Unit
3488,1542,Incentive,,500.0000,$/Unit
3489,1543,Incentive,,500.0000,$/Unit
3698,162,System,max,3.0000,kW
3699,162,Incentive,,1.0000,$/kW
3714,1654,Incentive,,30.0000,%
3715,1654,Incentive,max,2.0000,$
3723,157,Incentive,min,5.0000,%
3809,1679,Incentive,,0.2000,$/gallon
3956,164,Incentive,max,5000.0000,$
3957,165,Incentive,max,10000.0000,$
3958,1750,Incentive,,0.0900,$/kWh
3959,193,Incentive,,100.0000,%
3968,264,Incentive,,0.4800,$/kWh
4011,268,Incentive,,0.0600,$/kWh
4012,268,System,max,30.0000,kW
4013,1758,Incentive,,0.0900,$/kWh
4014,1758,System,min,30.0000,kW
4015,1758,System,max,200.0000,kW
4016,1759,Incentive,,0.0500,$/kWh
4017,1759,System,min,200.0000,kW
4018,1759,System,max,2000.0000,kW
4029,1762,Incentive,,0.2000,$/gallon
4051,51,System,max,150.0000,kW
4052,51,Incentive,,0.0000,$/kWh
4053,52,System,max,20.0000,kW
4054,52,Incentive,,0.0000,$/kW
4078,1782,Incentive,max,500000.0000,$
4079,1782,Incentive,max,10.0000,"% of cost"
4080,1783,Incentive,max,25000.0000,$
4081,1784,Incentive,,25.0000,%
4082,1785,Incentive,max,25000.0000,$
4083,1786,Incentive,max,750.0000,$
4113,1803,Incentive,max,999999.9999,$
4114,1803,Incentive,max,30.0000,"% of cost"
